"The long-term investigation of Artificial Intelligence (AI) and its influences on people, their communities, and society, was launched in the fall of 2014",What is the AAAI Asilomar Study?,What is the One Hundred Year Study on Artificial Intelligence?,What is the Stanford Computer Science Project?,What is the AI 2030 Report?,What is the One Hundred Year Study on Artificial Intelligence?
"The name of the earlier effort, informally known, upon which the One Hundred Year Study is modeled",What is the Stanford AI Initiative?,What is the AAAI Asilomar Study?,What is the Defense Advanced Research Projects Agency (DARPA) Grand Challenge?,What is the Stanford Vision Lab?,What is the AAAI Asilomar Study?
"A form of machine learning based on layered representations of variables, referred to as neural networks",What is reinforcement learning?,What is cognitive science?,What is deep learning?,What is algorithmic game theory?,What is deep learning?
"The repeating pattern where AI brings a new technology into the common fold, people become accustomed to it, and it stops being considered AI",What is the singularity?,What is the AI effect or the odd paradox?,What is Moore's Law?,What is backpropagation?,What is the AI effect or the odd paradox?
"The person who provided the useful definition: ""Artificial intelligence is that activity devoted to making machines intelligent, and intelligence is that quality that enables an entity to function appropriately and with foresight in its environment.""",Who is Marvin Minsky?,Who is Nils J. Nilsson?,Who is Herbert A. Simon?,Who is Alan Turing?,Who is Nils J. Nilsson?
The computer program developed by Google DeepMind that beat the human Go champion in a five-game match,What is Deep Blue?,What is AlphaGo?,What is Logic Theorist?,What is IBM's Watson?,What is AlphaGo?
A framework in machine learning that shifts the focus from pattern recognition to experience-driven sequential decision-making,What are convolutional neural networks?,What is large-scale machine learning?,What is reinforcement learning?,What is algorithmic game theory?,What is reinforcement learning?
The system is designed to improve the efficiency and efficacy of airport security by relying on personal information to tailor security based on risk categorization and flights,What is CompStat?,What is DARMS?,What is the Internet of Things (IoT)?,What is VSLAM?,What is DARMS?
"The computer system that was largely based on an efficient scheme for organizing, indexing, and retrieving large amounts of information and won the Jeopardy challenge in 2011",What is Deep Blue?,What is AlphaGo?,What is a Perceptron?,What is IBM’s Watson program?,What is IBM’s Watson program?
A set of technologies that seek to mimic biological neural networks to improve the hardware efficiency and robustness of computing systems,What are convolutional neural networks?,What is neuromorphic computing?,What is backpropagation?,What is algorithmic game theory?,What is neuromorphic computing?
